time,open,high,low,close,tick_volume,spread,real_volume
2025-08-27 22:00:00,112705.000000,112910.000000,112305.000000,112760.000000,2334,5500,0
2025-08-27 22:30:00,112765.000000,112970.000000,112650.000000,112870.000000,1603,5000,0
2025-08-27 23:00:00,112865.000000,113090.000000,111725.000000,112805.000000,3645,4500,0
2025-08-27 23:30:00,112835.000000,113145.000000,112725.000000,113125.000000,1142,7500,0
2025-08-28 01:00:00,112245.000000,112245.000000,111805.000000,112095.000000,874,7000,0
2025-08-28 01:30:00,112075.000000,112385.000000,112055.000000,112130.000000,468,5000,0
2025-08-28 02:00:00,112145.000000,112255.000000,111935.000000,112045.000000,587,5000,0
2025-08-28 02:30:00,112045.000000,112125.000000,111835.000000,112020.000000,830,5000,0
2025-08-28 03:00:00,112005.000000,112295.000000,111635.000000,111875.000000,682,5000,0
2025-08-28 03:30:00,111865.000000,112235.000000,111605.000000,112105.000000,961,5000,0
2025-08-28 04:00:00,112115.000000,112355.000000,112065.000000,112165.000000,885,5000,0
2025-08-28 04:30:00,112185.000000,112475.000000,112155.000000,112395.000000,854,6000,0
2025-08-28 05:00:00,112395.000000,112535.000000,112215.000000,112365.000000,829,6000,0
2025-08-28 05:30:00,112365.000000,112435.000000,112185.000000,112245.000000,689,6000,0
2025-08-28 06:00:00,112245.000000,112725.000000,112155.000000,112705.000000,745,5500,0
2025-08-28 06:30:00,112705.000000,112820.000000,112615.000000,112765.000000,479,5000,0
2025-08-28 07:00:00,112755.000000,113065.000000,112695.000000,113025.000000,528,6000,0
2025-08-28 07:30:00,113035.000000,113865.000000,113015.000000,113745.000000,1314,6000,0
2025-08-28 08:00:00,113745.000000,113955.000000,113585.000000,113645.000000,1148,5500,0
2025-08-28 08:30:00,113645.000000,113725.000000,113435.000000,113635.000000,579,6000,0
2025-08-28 09:00:00,113635.000000,113795.000000,113465.000000,113795.000000,674,5500,0
2025-08-28 09:30:00,113785.000000,114065.000000,113715.000000,114005.000000,922,5500,0
2025-08-28 10:00:00,113995.000000,114180.000000,113895.000000,113960.000000,943,6000,0
2025-08-28 10:30:00,113955.000000,113960.000000,113780.000000,113895.000000,663,6000,0
2025-08-28 11:00:00,113895.000000,114135.000000,113815.000000,113835.000000,1136,5000,0
2025-08-28 11:30:00,113835.000000,114065.000000,113755.000000,113895.000000,879,5000,0
2025-08-28 12:00:00,113875.000000,113915.000000,113655.000000,113740.000000,475,5500,0
2025-08-28 12:30:00,113740.000000,113740.000000,113635.000000,113650.000000,441,3500,0
2025-08-28 13:00:00,113645.000000,113805.000000,113595.000000,113660.000000,462,3500,0
2025-08-28 13:30:00,113665.000000,113880.000000,113625.000000,113865.000000,462,4000,0
2025-08-28 14:00:00,113870.000000,113900.000000,113675.000000,113685.000000,396,4500,0
2025-08-28 14:30:00,113685.000000,113755.000000,113595.000000,113655.000000,299,4000,0
2025-08-28 15:00:00,113645.000000,113715.000000,113450.000000,113530.000000,418,4000,0
2025-08-28 15:30:00,113610.000000,114085.000000,113480.000000,113965.000000,1165,4500,0
2025-08-28 16:00:00,113965.000000,114205.000000,113725.000000,113755.000000,1123,5500,0
2025-08-28 16:30:00,113755.000000,113955.000000,113285.000000,113545.000000,4471,5500,0
2025-08-28 17:00:00,113575.000000,113870.000000,113350.000000,113365.000000,2997,6000,0
2025-08-28 17:30:00,113360.000000,114065.000000,113270.000000,113920.000000,2193,4500,0
2025-08-28 18:00:00,113920.000000,114060.000000,113170.000000,113315.000000,2231,4000,0
2025-08-28 18:30:00,113315.000000,113575.000000,113100.000000,113435.000000,2230,4500,0
2025-08-28 19:00:00,113430.000000,113975.000000,113385.000000,113785.000000,1622,4000,0
2025-08-28 19:30:00,113780.000000,113825.000000,113105.000000,113115.000000,1907,4500,0
2025-08-28 20:00:00,113110.000000,113330.000000,112975.000000,113285.000000,1756,5000,0
2025-08-28 20:30:00,113285.000000,113435.000000,113135.000000,113190.000000,1135,4000,0
2025-08-28 21:00:00,113185.000000,113450.000000,113005.000000,113440.000000,856,4500,0
2025-08-28 21:30:00,113405.000000,113515.000000,113055.000000,113130.000000,1098,5000,0
2025-08-28 22:00:00,113125.000000,113345.000000,112930.000000,113145.000000,1031,5500,0
2025-08-28 22:30:00,113135.000000,113195.000000,112615.000000,112665.000000,1186,4000,0
2025-08-28 23:00:00,112675.000000,112875.000000,112575.000000,112735.000000,985,4000,0
2025-08-28 23:30:00,112745.000000,112815.000000,112585.000000,112625.000000,365,7000,0
2025-08-29 01:00:00,112570.000000,113135.000000,112570.000000,113105.000000,756,4000,0
2025-08-29 01:30:00,113125.000000,113225.000000,113030.000000,113050.000000,919,4000,0
2025-08-29 02:00:00,113065.000000,113210.000000,113015.000000,113100.000000,826,4000,0
