ts_iso,symbol,tf,side,confidence,ema_fast,ema_slow,rsi,placed,vol,reason
2025-11-10T19:55:14Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:14Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:14Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:14Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:14Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:19Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:19Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:19Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:19Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:19Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:19Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:24Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:24Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:24Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:24Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:24Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:24Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:29Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:29Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:29Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:29Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:29Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:29Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:34Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:34Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:34Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:34Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
